user_id,group,signup_date,repeat_purchase,location,loyalty_tier,revenue
U00047,A,2025-07-09,0,Sharjah,Basic,63.64
U00048,B,2025-07-21,0,Abu Dhabi,Gold,65.06
U00049,A,2025-07-06,1,Sharjah,Basic,170.09
U00050,B,2025-07-29,1,Ajman,Silver,235.28
U00051,B,2025-07-17,1,Dubai,Basic,249.17
U00052,A,2025-07-20,1,Sharjah,Basic,150.53
U00053,A,2025-07-31,0,Abu Dhabi,Basic,62.3
U00054,A,2025-07-12,0,Abu Dhabi,Basic,58.97
U00055,A,2025-07-06,1,Sharjah,Basic,0.0
U00056,A,2025-07-05,0,Sharjah,Silver,80.37
U00057,A,2025-07-14,0,Abu Dhabi,Silver,83.59
U00058,B,2025-07-17,0,Abu Dhabi,Silver,74.19
U00059,B,2025-07-06,0,Abu Dhabi,Basic,46.99
U00060,B,2025-07-14,1,Sharjah,Basic,251.26
U00061,B,2025-07-07,1,Dubai,Silver,158.79
U00062,A,2025-07-21,0,Dubai,Basic,19.79
U00063,B,2025-07-16,0,Dubai,Basic,83.58
U00064,A,2025-07-25,0,Ajman,Basic,57.02
U00065,A,2025-07-20,0,Sharjah,Basic,84.33
U00066,A,2025-07-10,0,Ajman,Silver,62.23
U00067,A,2025-07-20,0,Dubai,Silver,80.19
U00068,A,2025-07-20,0,Dubai,Gold,69.78
U00069,A,2025-07-13,0,Abu Dhabi,Basic,46.74
U00070,B,2025-07-15,1,Abu Dhabi,Silver,210.25
U00071,A,2025-07-06,0,Abu Dhabi,Basic,112.16
U00072,B,2025-08-01,0,Sharjah,Gold,128.73
U00073,B,2025-07-11,0,Sharjah,Basic,62.73
U00074,B,2025-07-28,0,Abu Dhabi,Basic,112.31
U00075,A,2025-07-14,0,Dubai,Basic,121.2
U00076,A,2025-07-10,0,Sharjah,Basic,96.21
U00077,B,2025-07-25,0,Abu Dhabi,Basic,102.72
U00078,A,2025-07-21,0,Abu Dhabi,Basic,33.31
U00079,A,2025-07-16,0,Abu Dhabi,Basic,88.62
U00080,A,2025-07-30,0,Dubai,Silver,65.17
U00081,B,2025-07-13,0,Sharjah,Gold,67.51
U00082,A,2025-07-18,0,Sharjah,Basic,86.68
U00083,B,2025-07-05,1,Abu Dhabi,Silver,248.65
U00084,B,2025-07-14,0,Ajman,Basic,168.87
U00085,A,2025-07-04,0,Dubai,Basic,26.8
U00086,A,2025-07-18,0,Dubai,Basic,105.72
U00087,B,2025-07-22,1,Abu Dhabi,Gold,200.15
U00088,A,2025-07-15,0,Abu Dhabi,Basic,106.51
U00089,A,2025-07-06,0,Ajman,Silver,76.79
U00090,B,2025-07-13,0,Dubai,Silver,109.66
U00091,B,2025-07-30,0,Dubai,Gold,86.12
U00092,A,2025-07-18,0,Sharjah,Basic,33.49
U00093,A,2025-07-13,0,Abu Dhabi,Basic,92.04
U00094,A,2025-07-27,0,Sharjah,Basic,41.37
U00095,B,2025-07-22,0,Ajman,Basic,106.95
U00096,A,2025-07-25,1,Dubai,Silver,216.1
U00097,B,2025-07-09,0,Dubai,Basic,49.63
U00098,A,2025-07-15,0,Sharjah,Basic,74.38
U00099,B,2025-07-09,0,Ajman,Basic,110.75
U00100,A,2025-07-14,0,Dubai,Gold,62.81
U00101,A,2025-07-30,1,Dubai,Silver,304.07
U00102,A,2025-07-29,0,Ajman,Basic,72.81
U00103,B,2025-07-15,0,Sharjah,Silver,46.29
U00104,A,2025-07-31,0,Sharjah,Basic,99.32
U00105,A,2025-07-23,0,Dubai,Basic,66.28
U00106,B,2025-07-31,1,Abu Dhabi,Gold,208.12
U00107,A,2025-07-22,1,Abu Dhabi,Gold,112.85
U00108,A,2025-07-20,0,Ajman,Basic,93.31
U00109,B,2025-07-13,1,Ajman,Silver,99.81
U00110,A,2025-07-09,0,Sharjah,Basic,54.61
U00111,A,2025-07-27,1,Ajman,Silver,177.8
U00112,B,2025-07-26,0,Abu Dhabi,Basic,141.7
U00113,B,2025-07-07,0,Sharjah,Basic,117.01
U00114,A,2025-07-05,0,Abu Dhabi,Basic,71.54
U00115,A,2025-07-08,0,Ajman,Basic,41.23
U00116,A,2025-07-10,0,Sharjah,Basic,111.46
U00117,B,2025-07-10,1,Sharjah,Gold,179.79
U00118,A,2025-07-23,1,Sharjah,Basic,155.43
U00119,B,2025-07-31,0,Dubai,Basic,130.31
U00120,B,2025-07-06,0,Sharjah,Silver,80.26
U00121,B,2025-07-21,1,Ajman,Silver,175.1
U00122,A,2025-07-21,0,Ajman,Silver,75.29
U00123,A,2025-07-31,0,Sharjah,Basic,74.95
U00124,B,2025-07-25,0,Dubai,Basic,50.04
U00125,A,2025-07-28,0,Sharjah,Basic,16.35
U00126,B,2025-07-15,0,Sharjah,Silver,92.51
U00127,A,2025-07-29,0,Sharjah,Basic,43.21
U00128,B,2025-07-03,0,Sharjah,Basic,68.28
U00129,B,2025-07-08,1,Abu Dhabi,Basic,195.72
U00130,B,2025-07-29,0,Abu Dhabi,Silver,35.52
U00131,B,2025-07-15,0,Ajman,Basic,163.62
U00132,A,2025-07-19,0,Sharjah,Basic,125.3
U00133,B,2025-07-08,1,Sharjah,Basic,160.98
U00134,B,2025-07-17,0,Abu Dhabi,Basic,95.47
U00135,A,2025-07-24,1,Dubai,Basic,113.33
U00136,B,2025-07-10,0,Dubai,Silver,21.58
U00137,A,2025-07-25,0,Sharjah,Basic,46.85
U00138,A,2025-07-03,0,Abu Dhabi,Basic,119.84
U00139,A,2025-07-15,0,Ajman,Silver,79.53
U00140,A,2025-07-27,0,Ajman,Basic,21.63
U00141,A,2025-07-11,0,Ajman,Basic,81.32
U00142,A,2025-07-27,0,Abu Dhabi,Silver,119.54
U00143,A,2025-07-08,0,Dubai,Silver,48.08
U00144,A,2025-07-17,0,Abu Dhabi,Silver,31.6
U00145,B,2025-07-27,0,Dubai,Basic,71.69
U00146,A,2025-08-01,0,Ajman,Basic,126.16
U00147,B,2025-07-12,0,Sharjah,Gold,34.68
U00148,B,2025-07-10,0,Ajman,Silver,76.32
U00149,B,2025-07-21,0,Abu Dhabi,Silver,134.01
U00150,B,2025-07-10,0,Ajman,Basic,126.31
U00151,A,2025-07-29,0,Sharjah,Silver,71.76
U00152,B,2025-07-28,1,Abu Dhabi,Basic,312.62
U00153,A,2025-07-03,0,Sharjah,Basic,63.93
U00154,B,2025-08-01,0,Sharjah,Silver,82.13
U00155,A,2025-07-18,1,Abu Dhabi,Basic,26.16
U00156,B,2025-07-26,0,Abu Dhabi,Silver,124.82
U00157,A,2025-07-03,0,Ajman,Basic,90.61
U00158,B,2025-07-08,0,Ajman,Basic,82.48
U00159,B,2025-07-20,1,Ajman,Gold,128.38
U00160,A,2025-07-17,0,Ajman,Basic,76.23
U00161,B,2025-07-14,1,Sharjah,Silver,119.55
U00162,B,2025-07-05,0,Abu Dhabi,Basic,67.56
U00163,B,2025-07-14,0,Ajman,Basic,92.67
U00164,B,2025-07-30,1,Sharjah,Silver,197.79
U00165,B,2025-07-06,0,Abu Dhabi,Silver,99.31
U00166,A,2025-07-07,1,Dubai,Gold,97.39
U00167,A,2025-07-26,1,Dubai,Silver,32.74
U00168,A,2025-07-06,0,Ajman,Basic,33.38
U00169,B,2025-07-28,0,Ajman,Basic,134.35
U00170,B,2025-07-09,1,Sharjah,Basic,131.43
U00171,B,2025-07-09,0,Sharjah,Silver,80.43
U00172,B,2025-07-26,1,Sharjah,Silver,220.51
U00173,B,2025-07-29,0,Dubai,Silver,71.63
U00174,A,2025-07-11,0,Sharjah,Basic,95.62
U00175,A,2025-07-15,1,Dubai,Silver,123.74
U00176,A,2025-07-28,1,Abu Dhabi,Silver,103.21
U00177,A,2025-08-01,1,Abu Dhabi,Basic,254.74
U00178,A,2025-07-23,0,Abu Dhabi,Basic,101.96
U00179,B,2025-07-13,0,Sharjah,Basic,122.17
U00180,A,2025-07-29,0,Abu Dhabi,Gold,34.1
U00181,A,2025-07-12,1,Dubai,Gold,98.05
U00182,B,2025-07-18,0,Ajman,Gold,79.69
U00183,A,2025-07-22,0,Dubai,Basic,60.73
U00184,A,2025-07-21,0,Dubai,Silver,94.11
U00185,B,2025-07-24,0,Dubai,Silver,101.48
U00186,A,2025-07-28,0,Sharjah,Basic,110.74
U00187,B,2025-07-24,0,Dubai,Basic,64.83
U00188,B,2025-07-08,1,Dubai,Silver,173.25
U00189,B,2025-07-15,1,Dubai,Basic,235.03
U00190,B,2025-07-13,1,Ajman,Silver,128.97
U00191,B,2025-07-06,1,Abu Dhabi,Silver,116.83
U00192,B,2025-07-19,0,Ajman,Basic,127.6
U00193,B,2025-07-04,1,Sharjah,Silver,27.59
U00194,A,2025-07-31,1,Sharjah,Silver,234.2
U00195,A,2025-07-29,0,Ajman,Basic,60.93
U00196,B,2025-07-14,0,Sharjah,Basic,79.84
U00197,B,2025-07-31,0,Abu Dhabi,Basic,124.49
U00198,B,2025-07-13,0,Sharjah,Basic,106.98
U00199,B,2025-07-03,1,Dubai,Basic,66.04
U00200,A,2025-07-06,1,Dubai,Basic,89.35
U00201,B,2025-07-05,0,Ajman,Basic,82.44
U00202,A,2025-07-14,1,Ajman,Silver,199.01
U00203,B,2025-07-06,0,Ajman,Silver,96.58
U00204,A,2025-07-04,0,Sharjah,Basic,71.63
U00205,A,2025-07-19,0,Sharjah,Silver,57.04
U00206,B,2025-07-06,0,Ajman,Basic,145.1
U00207,B,2025-07-27,0,Ajman,Gold,76.12
U00208,B,2025-07-14,0,Sharjah,Silver,114.17
U00209,B,2025-07-16,0,Sharjah,Basic,74.48
U00210,A,2025-07-26,0,Abu Dhabi,Basic,29.35
U00211,A,2025-07-13,0,Abu Dhabi,Basic,12.62
U00212,B,2025-07-29,1,Sharjah,Silver,183.56
U00213,B,2025-07-09,0,Dubai,Silver,105.97
U00214,B,2025-07-30,0,Abu Dhabi,Basic,131.68
U00215,B,2025-07-30,1,Dubai,Silver,155.22
U00216,A,2025-07-25,1,Sharjah,Basic,123.07
U00217,A,2025-07-14,1,Sharjah,Silver,157.73
U00218,A,2025-07-25,0,Ajman,Basic,37.08
U00219,A,2025-07-22,1,Sharjah,Basic,156.54
U00220,B,2025-07-12,0,Sharjah,Basic,89.76
U00221,A,2025-07-07,0,Sharjah,Gold,66.74
U00222,B,2025-07-07,1,Dubai,Silver,156.39
U00223,B,2025-07-23,1,Ajman,Basic,258.56
U00224,A,2025-07-20,1,Abu Dhabi,Basic,158.75
U00225,B,2025-07-23,1,Dubai,Gold,139.65
U00226,A,2025-07-22,0,Ajman,Silver,22.03
U00227,A,2025-07-25,1,Ajman,Basic,57.88
U00228,B,2025-07-05,0,Sharjah,Silver,98.74
U00229,B,2025-07-07,0,Sharjah,Basic,51.02
U00230,A,2025-07-05,0,Dubai,Gold,60.88
U00231,A,2025-07-22,0,Abu Dhabi,Basic,73.45
U00232,A,2025-07-19,1,Abu Dhabi,Basic,233.08
U00233,A,2025-07-08,0,Abu Dhabi,Basic,100.8
U00234,B,2025-07-15,0,Ajman,Basic,85.81
U00235,A,2025-07-12,0,Sharjah,Silver,114.67
U00236,B,2025-07-12,0,Dubai,Silver,110.72
U00237,B,2025-07-29,0,Abu Dhabi,Basic,19.42
U00238,A,2025-07-24,0,Abu Dhabi,Gold,113.33
U00239,A,2025-07-09,1,Dubai,Basic,152.01
U00240,B,2025-07-23,1,Sharjah,Basic,18.89
U00241,B,2025-07-11,0,Sharjah,Silver,114.35
U00242,B,2025-07-16,1,Ajman,Basic,181.5
U00243,A,2025-07-25,0,Ajman,Silver,69.56
U00244,B,2025-07-15,0,Dubai,Basic,107.87
U00245,A,2025-07-06,0,Sharjah,Basic,69.81
U00246,A,2025-07-24,0,Ajman,Basic,82.09
U00247,B,2025-07-29,0,Sharjah,Basic,75.7
U00248,B,2025-07-07,0,Ajman,Gold,77.36
U00249,B,2025-07-05,0,Sharjah,Basic,41.46
U00250,B,2025-07-29,0,Dubai,Silver,97.07
U00251,B,2025-07-03,1,Ajman,Silver,293.58
U00252,B,2025-07-07,0,Ajman,Silver,68.82
U00253,A,2025-07-14,0,Ajman,Basic,45.54
U00254,B,2025-07-11,0,Sharjah,Basic,60.43
U00255,B,2025-07-22,0,Dubai,Silver,29.81
U00256,B,2025-07-26,0,Ajman,Basic,73.3
U00257,B,2025-07-26,0,Ajman,Silver,76.43
U00258,A,2025-07-13,1,Abu Dhabi,Basic,142.53
U00259,A,2025-07-22,0,Sharjah,Basic,95.54
U00260,B,2025-07-05,1,Dubai,Basic,119.68
U00261,A,2025-07-10,0,Abu Dhabi,Basic,53.58
U00262,A,2025-07-21,0,Ajman,Basic,33.16
U00263,A,2025-07-03,0,Ajman,Gold,51.2
U00264,A,2025-07-21,0,Ajman,Gold,4.24
U00265,B,2025-07-15,0,Sharjah,Basic,109.8
U00266,B,2025-07-25,1,Ajman,Basic,95.78
U00267,A,2025-07-16,0,Ajman,Basic,40.83
U00268,A,2025-07-23,0,Dubai,Basic,72.38
U00269,B,2025-07-29,0,Sharjah,Gold,51.63
U00270,B,2025-07-26,0,Dubai,Basic,48.34
U00271,B,2025-07-10,0,Ajman,Silver,42.86
U00272,B,2025-07-12,0,Ajman,Basic,57.1
U00273,B,2025-07-17,0,Ajman,Gold,87.64
U00274,A,2025-07-13,0,Abu Dhabi,Basic,97.32
U00275,A,2025-07-05,1,Ajman,Basic,87.56
U00276,B,2025-07-31,0,Ajman,Basic,79.88
U00277,A,2025-07-29,0,Ajman,Gold,56.78
U00278,A,2025-07-05,0,Sharjah,Silver,117.46
U00279,B,2025-07-18,0,Dubai,Basic,128.85
U00280,B,2025-07-05,0,Dubai,Silver,34.16
U00281,B,2025-07-05,0,Abu Dhabi,Basic,80.97
U00282,B,2025-07-31,0,Sharjah,Silver,84.46
U00283,B,2025-07-26,0,Dubai,Silver,63.97
U00284,B,2025-07-27,0,Sharjah,Silver,58.09
U00285,B,2025-07-28,0,Dubai,Silver,51.0
U00286,A,2025-07-10,1,Sharjah,Gold,107.29
U00287,A,2025-07-05,0,Ajman,Gold,0.0
U00288,A,2025-07-27,1,Ajman,Basic,181.08
U00289,B,2025-07-06,0,Dubai,Basic,93.66
U00290,A,2025-07-12,1,Sharjah,Basic,134.91
U00291,B,2025-07-06,1,Abu Dhabi,Basic,112.94
U00292,B,2025-07-31,0,Abu Dhabi,Basic,61.36
U00293,A,2025-07-06,1,Ajman,Silver,262.6
U00294,A,2025-07-14,0,Ajman,Gold,118.59
U00295,A,2025-07-22,0,Abu Dhabi,Basic,53.06
U00296,B,2025-07-08,0,Ajman,Basic,44.93
U00297,A,2025-07-30,0,Ajman,Gold,56.24
U00298,A,2025-07-14,0,Dubai,Basic,60.8
U00299,B,2025-07-31,0,Sharjah,Silver,40.13
U00300,B,2025-07-31,0,Sharjah,Basic,89.37
U00301,B,2025-07-04,0,Abu Dhabi,Gold,74.8
U00302,B,2025-07-06,0,Dubai,Basic,65.74
U00303,B,2025-07-23,0,Sharjah,Gold,58.93
U00304,B,2025-07-31,0,Dubai,Gold,106.61
U00305,B,2025-07-30,1,Sharjah,Basic,112.98
U00306,A,2025-07-28,0,Ajman,Silver,143.02
U00307,B,2025-07-18,0,Abu Dhabi,Silver,85.94
U00308,B,2025-07-15,0,Abu Dhabi,Silver,83.13
U00309,B,2025-07-12,0,Abu Dhabi,Silver,97.08
U00310,A,2025-07-18,1,Sharjah,Silver,234.81
U00311,A,2025-07-14,0,Sharjah,Silver,52.16
U00312,A,2025-07-15,0,Sharjah,Basic,87.65
U00313,B,2025-07-22,0,Abu Dhabi,Basic,99.02
U00314,B,2025-07-09,0,Sharjah,Silver,116.22
U00315,B,2025-07-17,0,Ajman,Gold,70.54
U00316,B,2025-07-25,1,Sharjah,Silver,221.6
U00317,B,2025-07-18,0,Dubai,Basic,56.33
U00318,A,2025-07-06,0,Ajman,Gold,3.09
U00319,B,2025-07-03,1,Dubai,Silver,57.28
U00320,A,2025-07-25,1,Sharjah,Basic,140.96
U00321,B,2025-07-30,0,Sharjah,Silver,111.23
U00322,B,2025-07-07,0,Ajman,Silver,83.35
U00323,B,2025-07-06,0,Dubai,Silver,85.78
U00324,B,2025-07-29,0,Dubai,Silver,99.91
U00325,B,2025-07-13,0,Abu Dhabi,Silver,97.83
U00326,B,2025-07-27,0,Sharjah,Silver,123.66
U00327,A,2025-07-15,1,Abu Dhabi,Basic,110.76
U00328,A,2025-07-09,0,Sharjah,Gold,82.11
U00329,A,2025-07-19,0,Dubai,Basic,115.29
U00330,A,2025-07-06,1,Ajman,Basic,164.12
U00331,B,2025-07-14,0,Abu Dhabi,Silver,125.04
U00332,A,2025-07-20,0,Ajman,Silver,56.66
U00333,B,2025-07-16,0,Dubai,Silver,113.73
U00334,A,2025-07-10,0,Ajman,Basic,99.21
U00335,A,2025-07-24,0,Sharjah,Basic,21.03
U00336,B,2025-07-29,0,Sharjah,Basic,89.83
U00337,B,2025-07-17,0,Abu Dhabi,Gold,85.97
U00338,B,2025-08-01,0,Dubai,Silver,109.24
U00339,A,2025-07-28,0,Dubai,Silver,75.42
U00340,A,2025-07-03,0,Abu Dhabi,Silver,149.31
U00341,A,2025-07-29,0,Dubai,Silver,123.46
U00342,A,2025-07-17,1,Abu Dhabi,Silver,175.42
U00343,A,2025-07-08,0,Sharjah,Silver,77.51
U00344,A,2025-07-09,0,Sharjah,Silver,35.81
U00345,A,2025-07-15,0,Abu Dhabi,Basic,75.52
U00346,A,2025-07-08,1,Dubai,Silver,146.01
U00347,A,2025-07-08,0,Abu Dhabi,Basic,146.16
U00348,A,2025-07-29,0,Sharjah,Basic,85.72
U00349,B,2025-07-10,0,Dubai,Basic,117.48
U00350,B,2025-07-16,0,Dubai,Silver,59.6
U00351,B,2025-07-16,0,Ajman,Silver,109.83
U00352,A,2025-08-01,1,Ajman,Basic,0.76
U00353,A,2025-07-13,0,Sharjah,Basic,108.1
U00354,A,2025-07-19,0,Dubai,Gold,45.45
U00355,B,2025-07-12,0,Ajman,Silver,40.61
U00356,B,2025-07-15,0,Ajman,Basic,74.78
U00357,A,2025-07-27,0,Sharjah,Silver,94.13
U00358,A,2025-07-26,0,Abu Dhabi,Basic,65.28
U00359,B,2025-07-15,0,Ajman,Gold,44.4
U00360,B,2025-07-05,1,Ajman,Basic,193.58
U00361,B,2025-07-07,0,Dubai,Silver,52.03
U00362,A,2025-07-23,1,Abu Dhabi,Basic,130.13
U00363,A,2025-07-16,0,Ajman,Basic,49.67
U00364,B,2025-07-05,1,Ajman,Basic,169.7
U00365,A,2025-07-03,0,Sharjah,Basic,66.55
U00366,B,2025-07-19,0,Sharjah,Gold,85.43
U00367,B,2025-07-09,0,Dubai,Basic,169.95
U00368,A,2025-07-15,0,Dubai,Basic,36.79
U00369,B,2025-07-10,1,Abu Dhabi,Basic,250.26
U00370,B,2025-07-24,0,Dubai,Basic,0.0
U00371,B,2025-07-29,0,Dubai,Gold,38.79
U00372,B,2025-07-23,0,Sharjah,Basic,87.13
U00373,A,2025-07-30,1,Abu Dhabi,Silver,131.01
U00374,A,2025-07-03,0,Dubai,Basic,85.83
U00375,B,2025-07-08,0,Dubai,Silver,67.33
U00376,A,2025-07-06,0,Ajman,Silver,67.91
U00377,A,2025-07-10,0,Sharjah,Basic,67.32
U00378,B,2025-07-29,0,Sharjah,Gold,81.05
U00379,B,2025-07-04,0,Dubai,Basic,83.46
U00380,A,2025-07-20,0,Ajman,Basic,66.09
U00381,A,2025-07-31,0,Dubai,Silver,59.48
U00382,A,2025-07-29,0,Ajman,Basic,63.12
U00383,B,2025-07-10,1,Abu Dhabi,Basic,175.25
U00384,B,2025-07-23,0,Dubai,Silver,88.85
U00385,A,2025-07-09,0,Abu Dhabi,Silver,50.28
U00386,A,2025-07-05,1,Dubai,Basic,83.76
U00387,B,2025-07-17,0,Ajman,Silver,21.56
U00388,B,2025-07-20,1,Sharjah,Basic,274.7
U00389,A,2025-07-04,1,Sharjah,Basic,65.51
U00390,B,2025-07-20,0,Ajman,Basic,51.43
U00391,B,2025-07-13,0,Dubai,Basic,106.47
U00392,A,2025-07-15,0,Dubai,Basic,27.61
U00393,A,2025-07-07,0,Abu Dhabi,Silver,17.4
U00394,B,2025-07-20,1,Sharjah,Basic,124.58
U00395,B,2025-07-30,1,Ajman,Basic,223.17
U00396,B,2025-07-22,1,Abu Dhabi,Basic,157.99
U00397,B,2025-07-10,0,Dubai,Basic,155.43
U00398,A,2025-07-14,0,Ajman,Basic,90.17
U00399,A,2025-07-10,0,Sharjah,Basic,31.35
U00400,B,2025-07-11,0,Ajman,Basic,83.53
U00401,B,2025-07-23,0,Dubai,Gold,22.96
U00402,A,2025-07-04,0,Ajman,Silver,86.56
U00403,B,2025-07-11,0,Dubai,Basic,63.58
U00404,A,2025-07-19,0,Abu Dhabi,Basic,85.81
U00405,B,2025-07-22,0,Dubai,Basic,136.72
U00406,B,2025-07-15,0,Sharjah,Basic,134.97
U00407,A,2025-07-15,0,Dubai,Basic,65.26
U00408,A,2025-07-10,0,Abu Dhabi,Gold,94.2
U00409,B,2025-07-08,0,Sharjah,Silver,67.82
U00410,A,2025-07-21,0,Abu Dhabi,Basic,75.96
U00411,B,2025-07-04,0,Abu Dhabi,Basic,26.66
U00412,A,2025-07-25,0,Dubai,Basic,46.05
U00413,B,2025-07-13,1,Ajman,Silver,197.31
U00414,B,2025-07-12,0,Sharjah,Silver,18.62
U00415,B,2025-07-25,0,Abu Dhabi,Basic,83.34
U00416,B,2025-07-19,0,Ajman,Silver,86.27
U00417,B,2025-07-17,0,Dubai,Basic,101.26
U00418,A,2025-07-14,0,Sharjah,Basic,24.42
U00419,A,2025-07-13,0,Dubai,Basic,19.31
U00420,B,2025-07-04,1,Dubai,Silver,224.16
U00421,A,2025-07-12,0,Ajman,Basic,75.4
U00422,A,2025-07-22,0,Ajman,Gold,59.95
U00423,A,2025-07-18,0,Sharjah,Silver,23.26
U00424,A,2025-07-16,1,Dubai,Basic,115.98
U00425,B,2025-07-06,1,Dubai,Basic,89.29
U00426,A,2025-07-16,0,Dubai,Basic,97.88
U00427,B,2025-07-20,0,Ajman,Basic,33.82
U00428,A,2025-07-27,0,Sharjah,Basic,63.21
U00429,B,2025-07-22,1,Ajman,Basic,213.09
U00430,B,2025-07-29,0,Dubai,Silver,101.65
U00431,B,2025-07-19,0,Dubai,Basic,64.12
U00432,B,2025-07-04,0,Sharjah,Basic,102.15
U00433,A,2025-07-08,0,Sharjah,Basic,94.55
U00434,A,2025-07-15,0,Sharjah,Basic,74.02
U00435,B,2025-07-11,0,Abu Dhabi,Basic,95.63
U00436,A,2025-07-31,1,Sharjah,Basic,127.2
U00437,B,2025-07-15,1,Abu Dhabi,Silver,233.39
U00438,A,2025-07-04,1,Ajman,Basic,135.18
U00439,A,2025-07-08,0,Sharjah,Basic,27.85
U00440,A,2025-07-31,0,Sharjah,Gold,85.03
U00441,B,2025-07-24,0,Abu Dhabi,Basic,43.51
U00442,A,2025-07-19,0,Abu Dhabi,Basic,108.34
U00443,A,2025-07-18,0,Dubai,Silver,82.38
U00444,A,2025-07-24,1,Ajman,Basic,24.22
U00445,A,2025-08-01,0,Abu Dhabi,Silver,96.03
U00446,A,2025-07-27,0,Ajman,Basic,78.49
U00447,A,2025-07-08,0,Ajman,Silver,91.4
U00448,B,2025-07-21,1,Abu Dhabi,Basic,163.06
U00449,B,2025-07-30,1,Ajman,Gold,239.51
U00450,A,2025-07-12,0,Sharjah,Silver,49.5
U00451,B,2025-07-15,0,Ajman,Silver,112.19
U00452,B,2025-07-05,1,Ajman,Gold,180.4
U00453,A,2025-07-24,0,Abu Dhabi,Silver,19.55
U00454,A,2025-07-03,0,Ajman,Silver,17.24
U00455,A,2025-07-28,0,Dubai,Basic,60.99
U00456,A,2025-07-29,0,Sharjah,Basic,45.86
U00457,A,2025-07-12,0,Ajman,Basic,11.99
U00458,A,2025-07-20,0,Ajman,Silver,33.78
U00459,A,2025-07-23,0,Ajman,Basic,65.03
U00460,B,2025-07-06,1,Abu Dhabi,Basic,106.34
U00461,A,2025-07-19,1,Sharjah,Basic,278.58
U00462,B,2025-07-18,0,Dubai,Silver,56.76
U00463,B,2025-07-09,1,Abu Dhabi,Basic,235.86
U00464,B,2025-07-17,0,Ajman,Silver,136.74
U00465,A,2025-07-27,0,Ajman,Basic,54.47
U00466,A,2025-07-18,0,Dubai,Basic,52.03
U00467,A,2025-07-22,0,Abu Dhabi,Basic,55.12
U00468,B,2025-07-18,1,Dubai,Silver,149.07
U00469,A,2025-07-22,1,Sharjah,Basic,117.6
U00470,A,2025-07-17,0,Ajman,Silver,34.79
U00471,B,2025-07-29,0,Dubai,Basic,92.03
U00472,B,2025-07-09,0,Dubai,Silver,66.82
U00473,A,2025-07-12,0,Abu Dhabi,Basic,140.72
U00474,A,2025-07-23,0,Sharjah,Basic,98.14
U00475,B,2025-07-21,0,Abu Dhabi,Silver,67.31
U00476,A,2025-07-11,0,Sharjah,Basic,87.51
U00477,A,2025-08-01,1,Ajman,Silver,172.61
